article_text,human_headline,BART_original_headline,BART_finetuned_headline
"By Dena Aubin (Reuters) - TV personality Montel Williams and a payday loan website he endorsed do not have to face racketeering charges for allegedly marketing illegal payday loans, a federal judge in California ruled on Tuesday. U.S. District Judge Jeffrey White in Oakland granted a judgment in favor of Williams and online firm MoneyMutual, saying borrowers suing them failed to show that they participated in coordinated activity to commit fraud, as required for claims under the U.S. Racketeer Influenced and Corrupt Organizations Act. The defendants, however, must face claims that they violated the California Deferred Deposit Transaction Law (CDDTL), which bars the origination of payday loans without a license, White ruled. The defendants had argued they did not know lenders on the MoneyMutual site were unlicensed, but knowledge of misconduct is not required under that law, White said. Montel Williams spokesman Jonathan Franks declined to comment. Lawyers for MoneyMutual did not immediately respond to requests for comment. Jeffrey Wilens, a lawyer for the borrowers, said he is disappointed by the RICO claim dismissal, but remedies under the California payday loan law are essentially identical. ""We have already obtained an expert report placing defendants' financial exposure at more than $45 million, with the possibility of some of that being trebled,"" he said. The decision came in a 2013 lawsuit on behalf of hundreds of thousands of California borrowers who took out loans on MoneyMutual, a website that matches borrowers with lenders. The borrowers claimed they were lured to take out loans on MoneyMutual by endorsements from Williams, who promoted the site in radio, television and Internet advertising. In reality, lenders found on the site were offshore companies charging illegally high rates, the lawsuit said. Borrowers alleged that defendants violated RICO by using the U.S. mail, Internet and interstate telephone networks to aid unlicensed payday lenders, who collected illegally high interest rates. RICO bars the collection of unlawful debt. The lawsuit also said defendants violated the CDDTL by assisting the unlicensed lenders in the origination of payday loans. In a motion for summary judgment filed last year, MoneyMutual and Williams said there was no basis for a racketeering claim. The facts showed that they had nothing more than commercial relationships, such as operating a website for loans and serving as a celebrity endorser for it, those types relationships cannot establish liability under RICO, the defendants said. The defendants said they had no involvement in borrowers' loan agreements, terms of the loans or their collection. They said CDDTL claims fail because they require substantial assistance of illegal lending and actual knowledge of the illegal conduct, and neither were proved. The defendants said they were never told about the licensing status of the lenders or any illegal conduct by them. They also said the website had no duty under California law to investigate the lenders and their legal compliance. White agreed that the plaintiffs failed to show that the defendants knew the lenders were issuing illegal loans, as required for RICO claims. Violation of the CDDTL, however, does not require knowledge of the underlying misconduct, and defendants thus were not entitled to judgment on that claim, he said. The case is: Gilbert v. MoneyMutual, U.S. District Court, California Northern District, No. 13-cv-1171. For the plaintiffs: Jeffrey Wilens at Lakeshore Law Center; and Jeffrey Spencer at the Spencer Law Firm For the defendants: Donald Putterman and Michelle Landry at Putterman Landry & Yu","Judge tosses RICO claims against Montel Williams, payday loan site"," tv personality montel williams and a payday loan website he endorsed do not have to face racketeering charges for allegedly marketing illegal payday loans, a federal judge in california ruled. the defendants must face claims that they violated the california deferred deposit transaction law.","montel williams , payday loan site win dismissal of racketeering claim against them"
"* IEA lowers demand growth forecasts for 2019, 2020 * Supply curbs by OPEC and allies help support market * Concerns over U.S.-China trade war cap gains * Saudi to keep exports below 7 mln bbls in Aug, Sept-official(Adds Russia's comments) By Bozorgmehr Sharafedin LONDON, Aug 9 (Reuters) - Oil prices rose on Friday,supported by expectations of more OPEC production cuts despitethe International Energy Agency (IEA) reporting demand growth atits lowest level since the financial crisis of 2008. Brent crude futures were up 89 cents at $58.27 abarrel by 1057 GMT. West Texas Intermediate (WTI) futureswere at $53.33 per barrel, up 79 cents. ""Despite a further cut in oil demand growth by the IEA, oilprices are trading marginally higher, as the demand growth cutwas already announced previously by the head of the IEA and theagency still expects larger inventory draws for 2H19,"" UBSanalyst Giovanni Staunovo said. The IEA said global oil demand in the first half of 2019grew at its slowest pace since 2008 hurt by mounting signs of aneconomic slowdown and a ramping up of the U.S.-China trade war. Oil prices have lost more than 20% from peaks reached inApril, putting them in bear territory. Rystad Energy said the oil market was going ""from gloomy togloomier"", calling into question the consultancy's own bullishview for the first part of 2020. ""Economic recession risk and further escalation of theU.S.-China trade war are key concerns in the near term. How longOPEC+ is willing to continue to manage production addsuncertainty,"" said Bjørnar Tonhaugen, head of oil marketanalysis at Rystad Energy. The Organization of the Petroleum Exporting Countries,Russia and other producers, an alliance known as OPEC+, agreedin July to extend their supply cuts until March 2020 to boostoil prices. Russia's energy ministry said IEA's estimates were largelyin line with its own forecasts and that Moscow had taken intoaccount the possibility of a slowdown in oil demand when itextended an output cut deal with OPEC. ""Market focus in oil has clearly shifted. It is squarely onfuture demand, rather than on supply,"" said HarryTchilinguirian, global oil strategist at BNP Paribas in London. Saudi Arabia, de facto leader of the OPEC, plans to maintainits crude oil exports below 7 million barrels per day in Augustand September to bring the market back to balance and helpabsorb global oil inventories, a Saudi oil official said onWednesday. The United Arab Emirates also will continue to supportactions to balance the oil market, energy minister Suhailal-Mazrouei said in a tweet on Thursday. (Additional reporting by Jane Chung in Seoul; editing by JasonNeely and Alexander Smith)",UPDATE 4-Oil rises despite IEA report showing demand growth at decade low," brent crude futures were up 89 cents at $ 58.27 abarrel by 1057 gmt. west texas intermediate ( wti ) futureswere at $ 53.33 per barrel , up 79 cents. oil prices have lost more than 20 % from peaks reached inapril , putting them in bear territory.",update 7-oil prices rise despite iea's cut in demand growth forecast
"By Moushumi Basu ICHAPUR, India, March 21 (Thomson Reuters Foundation) - Asclimate change brought less predictable weather, farmersDeepankar Mandal and Sanjib Mandal used to struggle with growinguncertainty about whether they would get a crop each season. ""Rains have become erratic, insufficient or wrongly timed,""said Deepankar. ""The crops failed, the water table got lowereach year (and) there were newer pests attacking our paddy andvegetables."" Most years, ""we were battling against the odds for oursurvival"", added the farmer from India's West Bengal state. But in recent years, they have tried a new way to cope:producing biogas from cow manure to provide clean energy athome, and then using the leftover slurry to improve the soil intheir fields. The change has helped them save money by cutting out costlychemical fertilisers. It has also reduced deforestation andallowed them to restore the earth so it now holds more water,helping them through droughts, the farmers said. Moreover, with biogas to cook at home, ""we do not have towander for hours here and there in search of firewood fromnearby forests”, said Chobi Mandal, Deepankar's mother. These benefits are the result of a three-year push bySusanta Mukherjee, an agricultural scientist who works with theIndian government's Agricultural Technology Management Agency(ATMA), to help farmers in the village adopt organic farming asa way of coping with more challenging climate conditions. The new approach has also helped them reduce their alreadylow planet-warming emissions, he said. In Ichapur, 50 farmers, working on 20 acres (8 hectares) ofland, are now using the organic farming system, with another 40planning to join by mid-year. Under the effort backed by ATMA, farmers are each given acow and support to set up a home biogas production system. After water and manure are fed into a digestion tank, themethane produced is captured for use as cooking gas. Chobi Mandal said the gas was sufficient for her to cookthree meals a day - and meant she no longer had to work in smokyconditions over firewood. The leftover slurry from biogas production, rich in organicnutrients, is dried and used as fertiliser in the fields. Farmers also have been trained to use earthworms to helpproduce compost, and to concoct other natural fertilisers andorganic pesticides at home. LESS RAIN, LESS WATERING Deepankar Mandal said he could now go nearly two weekswithout watering his fields, even in dry periods, as the soilholds more moisture. Even on irrigated land, more water is retained and slowlyseeps into underground aquifers, helping recharge wells andother water bodies, said Mukherjee. Farmers are able to produce more crops, more consistently -all without chemical fertilisers and pesticides or big demand onlimited groundwater supplies, he said. Sanjib Mandal, who is unrelated to Deepankar, said riceproduction had risen 30-40 percent each year on average sincethe switch, while costs had fallen by about 35 percent. Besides harvesting two rice crops a year, farmers aregrowing vegetables and cattle feed, as well as crops like oats,sorghum and maize, and getting milk from their cows, he said. They have also noticed that their plants' roots seem to holdthe soil better, making them more able to withstand harsherstorms and strong winds, Mukherjee said. Persuading farmers to switch away from chemical fertilisersand pesticides wasn't easy at the start, Sanjib said. “There is a misconception prevailing among the conventionalfarmers that organic farming produces lower yields than thechemically grown crops,"" he said. The project, however, has ""demonstrated to them thecost-effectiveness and higher yield of crops in our fields"" -and that has led some other farmers to ""join our brigade"", hesaid. Finding funding to build home biogas plants - which costabout 30,000 rupees ($430) to set up - has been anotherchallenge for poorer farmers who cannot afford one on their own,said Biswajit Das, a farmer from Ichapur. The farmers' collective is seeking additional funding fromATMA to pay for more plants, he said. Meanwhile, farmers said they enjoyed seeing more life intheir now-organic fields, from owls and sparrows to honey beesand butterflies. They ""make our fields come alive"", said Srimanta Mandal, anIchapur farmer.(Reporting by Moushumi Basu; editing by Laurie Goering. Pleasecredit the Thomson Reuters Foundation, the charitable arm ofThomson Reuters, that covers humanitarian news, climate change,resilience, women's rights, trafficking and property rights.Visit http://news.trust.org/climate)","FEATURE-Add cows, subtract chemicals: Organic farming a plus for climate-hit Indian farmers","as climate change brings less predictable weather, farmers in india have tried a new way to cope:producing biogas from cow manure to provide clean energy. they then use the leftover slurry to improve the soil intheir fields. the change has helped them save money by cutting out costlychemical fertilisers. it has also reduced deforestation and allowed them to restore the earth so it now holds more water, helping them through droughts.","feature-with biogas and earthworms , indian farmers adapt to climate change and save money"
"By Jan Wolfe Federal prosecutors in California have agreed to drop what remained of a criminal case accusing former employees at now-defunct wearable devices company Jawbone of unlawfully taking trade secrets with them when they left for jobs at rival Fitbit Inc. The development came two weeks after a San Francisco jury acquitted the first defendant to go to trial, former Jawbone executive Katherine Mogal, who was the company's director of market and customer experience insights. To read the full story on Westlaw Practitioner Insights, click here: https://bit.ly/2u7LZcE",Prosecutors drop trade secrets case against ex-Jawbone employees,federal prosecutors in california have agreed to drop what remained of a criminal case accusing former employees at now-defunct wearable devices company jawbone of unlawfully taking trade secrets with them. the development came two weeks after a san francisco jury acquitted the first defendant to go to trial.,prosecutors drop trade secrets case against former jawbone employees who left for fitbit
"(Repeats story published Tuesday with no changes) By Jennifer Ablan and Trevor Hunnicutt March 12 (Reuters) - Jeffrey Gundlach, the chief executiveof DoubleLine Capital and Wall Street's Bond King, called theincreasingly popular Modern Monetary Theory backed byprogressives a ""crackpot"" idea. Gundlach, who oversees more than $123 billion, said on aninvestor webcast on Tuesday that Modern Monetary Theory is""complete nonsense, yet it is being used to justify a massivesocialist program."" Modern monetary theorists argue government spending, anddeficits as needed, should be used to meet the full employmentand inflation mandates currently tasked to the U.S. FederalReserve. Taxes may not be needed to support all spending sincethe government can create more money and inflation is the mainrestraint on government spending, according to the theory. The ideas have gained currency with some economists andDemocratic Party politicians but have also been met with fiercecriticism. A leading proponent of Modern Monetary Theory, StateUniversity of New York at Stony Brook economics professorStephanie Kelton, advised democratic socialist U.S. SenatorBernie Sanders in his 2016 run for the Democratic presidentialnomination, and Representative Alexandria Ocasio-Cortez has alsoexpressed openness to the idea. ""What happens when the economy turns down?"" he asked.Gundlach added that the ""ridiculous"" MMT is a way of monetizingdebt and could lead to a significant boycott of long-term bonds.The ideas could gain popularity if the United States enters arecession in 2020, ahead of the next presidential election. Populist discontent has struck a nerve with some voters inthe United States, with liberals calling for higher taxes on therich and more spending to promote economic equality. Gundlach said the timing of a college bribery scandalreinforces that populist narrative. Federal authorities arrested dozens on Tuesday for a $25million scheme to help wealthy Americans, including actressesFelicity Huffman and Lori Loughlin and some finance executives,cheat their children's way into elite universities, such as Yaleand Stanford. Gundlach said: ""It really doesn't do all of us in the worldof finance a lot of reputational good...look at these people,turning the table in their favor. It's really prettyhorrifying."" Gundlach said the college bribery scandal ""really helps theElizabeth Warren crowd."" Warren vowed on Friday to break up Amazon.com Inc,Alphabet Inc's Google and Facebook Inc ifelected U.S. president to promote competition in the technologysector. Addressing the run-up in the U.S. stock market, Gundlachsaid he still thinks stocks are in a bear market. ""The stockmarket was and is in a bear market,"" he said, adding stockscould go negative again this year. Gundlach said the market rebound stemmed from the""remarkable 180-degree turn"" from the Federal Reserve, which isstraying away from quantitative tightening. He said the Fed willlikely keep $3.5 trillion in assets on its balance sheet. ""Maybethey realize that there really isn't anybody to buy all thebonds that appear to be potentially in prospect other than thecentral bank,"" Gundlach said.(Reporting by Jennifer Ablan and Trevor HunnicuttEditing by Phil Berlowitz and Lisa Shumaker)",RPT-DoubleLine's Jeffrey Gundlach calls Modern Monetary Theory a 'crackpot' idea," jeffrey gundlach, the chief executiveof doubleline capital and wall street's bond king, called modern monetary theory a "" crackpot "" idea. modern monetary theorists argue government spending should be used to meet the full employmentand inflation mandates currently tasked to the u.s . federalreserve.",rpt-update 1-doubleline's gundlach calls modern monetary theory a ' crackpot ' idea
"(For a live blog on the U.S. stock market, click ortype LIVE/ in a news window.) * CPI grows at slowest annual pace in 1-1/2 years * Mnuchin expresses optimism on Beijing trade negotiations * S&P 500 closes above 200-day MA for 2nd day * Cisco gains in after-market trading following earningsrelease * Indexes up: Dow 0.46 pct, S&P 500 0.30 pct, Nasdaq 0.08pct(Updates to market close) By Stephen Culp NEW YORK, Feb 13 (Reuters) - Wall Street closed higher onWednesday as investor optimism was stoked over hopes the UnitedStates and China could iron out a trade deal, and benigninflation data suggested the Federal Reserve would hold interestrates steady in the near term. All three major U.S. stock indexes gained ground, with theS&P 500 and the Nasdaq posting their fourth consecutiveadvances. For the second straight day, the S&P 500 closed aboveits 200-day moving average, a key technical level. Stocks briefly pared gains following a late-morning tweet byU.S. Senator Marco Rubio saying he would introduce a bill to""tax corporate buybacks the same way as dividends."" In Beijing, U.S. Treasury Secretary Steven Mnuchin said ""sofar, so good,"" regarding ongoing talks aimed at resolving theU.S.-China trade dispute, adding he hoped for ""productive""meetings in the days ahead. ""The markets are extremely vulnerable to news,"" said BernardBaumohl, chief global economist at the Economic Outlook Group inPrinceton. ""(Investors are) waiting and hoping for good news tocome out of the trade negotiations with China, and for continuedsigns that the economy is still growing at a healthy pacewithout heating up inflation."" The U.S. Labor Department reported consumer prices wereunchanged for the third consecutive month in January, in a signthe Fed could hold interest rates steady for the time being. Fourth-quarter earnings season is approaching the finishline, with more than two-thirds of the S&P 500 having reported. While analysts now see fourth-quarter earnings growth of16.6 percent, the outlook for the current quarter is lessupbeat. Fourth-quarter profit is projected to fall 0.3 percent froma year ago, marking the first loss since the earnings recessionthat ended in 2016, according to Refinitiv data. The Dow Jones Industrial Average rose 117.51 points,or 0.46 percent, to 25,543.27, the S&P 500 gained 8.3points, or 0.30 percent, to 2,753.03 and the Nasdaq Compositeadded 5.76 points, or 0.08 percent, to 7,420.38. Of the 11 major sectors in the S&P 500, all but utilitiesand communications services ended thesession in positive territory. Energy was the largest percentage gainer as oilprices saw their biggest increase since late January. Groupon Inc sank 11.1 percent, one the biggestlosers on the Nasdaq, as reduced traffic led to afourth-quarter profit miss. Generic drugmaker Teva Pharmaceuticals Industries Incdropped 7.8 percent after forecasting aweaker-than-expected 2019 due to new competition for brandeddrugs. General Electric Co advanced 3.9 percent followingnews the conglomerate booked the most orders forelectricity-generating gas turbines in 2018. Levi Strauss & Co filed documents for an IPO after more thanthree decades as a privately-held company. RivalsAbercrombie & Fitch, Gap Inc and American EagleOutfitters Inc all dipped on the news. Cisco Systems Inc shares rose in after-markettrading after posting better-than-expected quarterly results asthe network gear maker benefited from its shift to newerbusinesses. Advancing issues outnumbered declining ones on the NYSE by a1.86-to-1 ratio; on Nasdaq, a 1.42-to-1 ratio favored advancers. The S&P 500 posted 38 new 52-week highs and no new lows; theNasdaq Composite recorded 78 new highs and 19 new lows. Volume on U.S. exchanges was 6.91 billion shares, comparedto the 7.45 billion average over the last 20 trading days.(Reporting by Stephen CulpEditing by Chris Reese)","US STOCKS-Wall Street advances on trade hopes, tame inflation data","all three major u.s. stock indexes gained ground, with thes&p 500 and the nasdaq posting their fourth consecutiveadvances. for the second straight day, the s&p 500 closed aboveits 200-day moving average, a key technical level. stocks briefly pared gains following a late-morning tweet byu.s. senator marco rubio saying he would introduce a bill to""tax corporate buybacks the same way as dividends""","us stocks-wall st ends higher on trade optimism , benign inflation data"
"BEIRUT, Nov 21 (Reuters) - Lebanese House Speaker Nabih Berri called on Thursday for a parliamentary session next week to discuss draft legislation on banking secrecy and returning stolen state funds, state news agency NNA reported. Berri's call comes after more than a month of nationwide protests against the country's ruling elite and which have included demands for tackling rampant corruption and the looting of state resources. He said the session would be held on Nov. 27. (Reporting by Eric Knecht Editing by Samia Nakhoul)",Lebanon parliament speaker calls for session next Wednesday -NNA,house speaker nabih berri's call comes after more than a month of nationwide protests against the country's ruling elite. he said the session would be held on nov . 27.,"lebanon's berri calls parliamentary session on banking secrecy , returning stolen state funds -  nna"
"LONDON, March 19 (Reuters) - North Sea Forties and Brentcrude differentials rose further on Monday as buying interestremained strong after the previous day's gains, while Ekofiskwas steady. Six cargoes had traded in the Platts window on Monday, anunusually high number, with Glencore buying four of the cargoes. PLATTS WINDOW * Brent: Vitol bid for an April 1-12 cargo at dated Brentplus 30 cents, up 15 cents from the more expensive of Monday'strades. * Forties: Glencore bid for an April 3-21 cargo at datedBrent plus 30 cents, up 10 cents from the most expensive ofMonday's deals. * Ekofisk: Vitol bid for an April 12-20 cargo at dated Brentplus 70 cents and Equnior offered April 1-3 at dated plus 50cents, resulting in an average of dated plus 60 cents, in linewith Monday's indications. This equates to dated plus 14 cents after the April qualitypremium of 46 cents is applied, making Ekofisk the cheapestbenchmark grade.(Reporting by Alex LawlerEditing by Edmund Blair)","North Sea Crude-Forties, other grades rise further","north sea forties and brentcrude differentials rose further on monday as buying interestremained strong. six cargoes had traded in the platts window on monday , anunusually high number. glencore bought four of the cargoes.","north sea crude-forties , brent rise further , ekofisk steady"
"* Roads in Kashmir sealed off, impacting millions * Emergency orders prohibiting gatherings in several other areas in India * Indian rupee nears record low, Pakistan stocks at 5-year low By Fayaz Bukhari and Alasdair Pal SRINAGAR/NEW DELHI, March 19 (Reuters) - India blocked roads in Kashmir on Thursday after the insurgency-torn region reported its first case of coronavirus, as several other parts of the country imposed restrictions on public gatherings in attempts to prevent its spread. Densely-populated South Asia has been slow to be hit by coronavirus compared to elsewhere in the world. But new cases in India, Pakistan, Afghanistan and Sri Lanka are all accelerating, with the total across the region topping 500. Five people have died of the disease in the region. Authorities worry that these countries could be especially at risk should the virus begin to spread locally, due to poor health facilites and infrastructure. In Kashmir, dozens of people told Reuters they had been prevented from leaving their neighbourhoods on Thursday because roads were blocked by police and paramilitary units. Srinagar's senior superintendent of police Haseeb Mughal told Reuters that road blockades across the valley had been imposed to prevent the spread of the virus. ""I had to go to take my mother to hospital in Srinagar but the police has closed the road,"" said Mohammed Ayub, from the nearby town of Budgam. ""I am waiting here for the last two hours. I can't even go home now as the road is blocked due to a traffic jam."" Muslim-majority Kashmir, also claimed by India's arch-rival Pakistan, has been relatively unaffected by the virus, reporting its first case on Wednesday evening. But the picturesque valley of seven million is one of most militarised places on earth due a decades-long insurgency against Indian rule, and its residents have been subject to prolonged curbs on freedom of movement. An internet shutdown that began in August following sweeping constitutional changes in Kashmir has only just been eased. Several other areas in India have introduced curbs on public assembly as coronavirus cases in the country rose to 166. Late on Wednesday, the desert state of Rajasthan invoked colonial-era laws that prevent the unlawful assembly of 4 or more people - powers more often used to quell riots. Similar restrictions were also introduced in Noida, a satellite city of New Delhi. India's financial hub of Mumbai expanded its partial shutdown of offices to government buildings on Thursday, with at least half the staff ordered to work from home. The spread of the virus continued to hit markets across the region. The Indian rupee fell to a near-record low against the dollar, with Pakistan stocks hitting their lowest level in five years. Since emerging late last year in the Chinese city of Wuhan, the flu-like coronavirus has infected over 218,000 people and killed nearly 9,000. (Reporting by Fayaz Bukhari in Srinagar, Alasdair Pal in New Delhi and Rajendra Jadhav in Mumbai Writing by Alasdair Pal; Editing by Raju Gopalakrishnan)","India locks down Kashmir region on coronavirus fears, S. Asian markets slide"," roads in kashmir sealed off, impacting millions. emergency orders prohibiting gatherings in several other areas in india. indian rupee nears record low, pakistan stocks at 5-year low.","india blocks roads in kashmir after first coronavirus case , other parts of india restrict gatherings"
"By Jill Serjeant Jan 13 (Reuters) - Brad Pitt scored an Oscar nomination on Monday for his performance as a charming stuntman in ""Once Upon a Time in Hollywood,"" cementing his return to the forefront of show business. Pitt, 56, has never won an acting Oscar despite 30 years in the movie industry and three previous nominations. But he is considered the favorite to win the best supporting actor Academy Award next month, according to awards pundits, after wowing critics in Quentin Tarantino's love letter to Hollywood last summer. Pitt's performance as the laid-back stunt double and fixit man Cliff Booth to Leonardo DiCaprio's fading 1960s TV Western star has already won him a Golden Globe prize and a Screen Actors Guild nomination. It was lauded as a career best turn by the Hollywood Reporter, while Britain's Sunday Times said last year that the ""well-matured Pitt steals the show."" An extended shirtless scene sent fans and celebrity media swooning, ending a long period when Pitt was portrayed as the bad guy in the breakup of his marriages to both Angelina Jolie and first wife Jennifer Aniston, one of America's most popular celebrities. Pitt, not seen on the big screen since 2016 war drama flops ""Allied"" and ""War Machine,"" followed up ""Once Upon a Time in Hollywood"" with a second well-received performance in space drama ""Ad Astra"" in 2019 where he played an introspective astronaut. ""I Think It’s Finally Acceptable to Be Completely and Totally Obsessed With Brad Pitt,"" ran a headline on women's website Cosmopolitan.com after Pitt returned to the red carpet last year. Pitt had adopted a low profile since 2016 as he and Jolie spent more than two years in a bitter custody dispute over their six children that involved accusations against the actor of child abuse, heavy drinking and drug use. In a 2017 interview, Pitt admitted a heavy marijuana habit and said his drinking had gotten out of control, but said that since the split with Jolie he had quit alcohol and was undergoing therapy. Pitt was cleared by investigators in Los Angeles of abuse allegations, which stemmed from an angry altercation in front of his children toward the end of his marriage to Jolie. ""Once Upon a Time in Hollywood"" got a total of 10 Oscar nominations on Monday, including best picture, director and best actor for Pitt's co-star DiCaprio. The Oscars ceremony will take place in Hollywood on Feb. 9. (Reporting by Jill SerjeantD; editing by Jonathan Oatis)",Brad Pitt bounces back with Oscar acting nod," brad pitt scored an oscar nomination on monday for his performance as a charming stuntman in "" once upon a time in hollywood ,"" cementing his return to the forefront of show business. pitt, 56, has never won an acting oscar despite 30 years in the movie industry and three previous nominations. the oscars ceremony will take place in hollywood on feb . 9.",brad pitt scores oscar nomination for role in ' once upon a time in hollywood '
"WASHINGTON, April 7 (Reuters) - Boeing Co said late on Tuesday it will make two new software updates to the grounded 737 MAX's flight control computer as it works to win regulatory approval to resume flights after it was grounded following two fatal crashes in five months. The planemaker said one issue involves hypothetical faults in the flight control computer microprocessor, which could potentially lead to a runaway stabilizer, while the other issue could potentially lead to disengagement of the autopilot feature during final approach. Boeing said the software updates will address both issues. The Federal Aviation Administration said Tuesday it is in contact with Boeing as it ""continues its work on the automated flight control system on the 737 MAX."" (Reporting by David Shepardson Editing by Chris Reese)",Boeing making new 737 MAX software updates to address computer issue,boeing will make two new software updates to the grounded 737 max's flight control computer as it works to win regulatory approval to resume flights. the planemaker said one issue involves hypothetical faults in the flight control computer microprocessor.,boeing to make two new software updates to 737 max's flight control computer
"WASHINGTON, Dec 11 (Reuters) - The firing of tear gas canisters by U.S. border agents toward migrants in Mexico near a border crossing last month followed regulations, a senior Trump administration official said in testimony to Congress on Tuesday. On Nov. 25, U.S. border agents fired tear gas to disperse a group of migrants near the U.S.-Mexico border crossing separating Tijuana from San Diego when some rushed through fencing into the United States. A day after the incident, Mexico's foreign ministry presented a diplomatic note to the U.S. government calling for ""a full investigation"" into what it described as non-lethal weapons directed toward Mexican territory. Kevin McAleenan, commissioner of U.S. Customs and Border Protection, the agency that oversees U.S. Border Patrol, said in testimony to the Senate Judiciary Committee that the use of tear gas was within the agency's regulations and came as agents faced a ""difficult situation."" The migrants attempting to cross the U.S.-Mexico border ""were assaultive in their behavior, they threw rocks at agents,"" McAleenan said, adding that one agent had to have surgery as a result of injuries. McAleenan had earlier said in a statement that four agents were hit with rocks, but that they did not suffer serious injuries. Women and small children were within the group of migrants exposed to the tear gas, and images of them fleeing the approaching gas sparked outrage. McAleenan said women and children were ""absolutely not"" deliberately targeted by agents firing tear gas canisters. CBP is conducting an internal ""use of force"" review of the incident, McAleenan said. Large groups of mostly Central American migrants have sought this year to cross into the United States, and the Trump administration has made efforts to block their entry, including by sending thousands of U.S. troops to the southern border. (Reporting by Yeganeh Torbati; Editing by Steve Orlofsky)",Trump administration official defends use of tear gas at Mexico border,"u.s. border agents fired tear gas to disperse a group of migrants near the u.s.-mexico border crossing separating tijuana from san diego. a day after the incident, mexico's foreign ministry presented a diplomatic note to the u.s. government calling for "" a full investigation """,u.s . border agents ' use of tear gas on migrants in mexico followed regulations - official
"|timeGenerated|2019-04-08T13:16:35Z|matchInfo.id|9aj9fizp8l7fw0xwveauyb0q2|matchInfo.homeTeam.id|e5p0ehyguld7egzhiedpdnc3w|matchInfor.homeTeam.name|Brighton and Hove Albion|matchInfo.homeTeam.report|Brighton and Hove Albion drew 1 - 1at home to Leicester City on Saturday|matchInfo.awayTeam.id|avxknfz4f6ob0rv9dbnxdzde0|matchInfo.awayTeam.name|Leicester City|matchInfo.awayTeam.report|Leicester City drew 1 - 1 at Brightonand Hove Albion on Saturday|matchInfo.venue|Amex|matchInfo.possession|Possession was fairly even between theteams|matchInfo.homeTeam.goal.playerId|3or340khwmwl7p176xe839w5|matchInfo.homeTeam.goal|Brighton led  on  15 minutes with agoal by  Glenn  Murray from an assist by Knockaert|matchInfo.awayTeam.goal.playerId|6v1o4s2acog9guff3folo1jh1|matchInfo.awayTeam.goal|The visitor's Jamie  Vardy scoredthe second in the 79th minute, from a penalty|matchCards.awayTeam.secondYellow.playerId|a1yoz8f4985o166nzcyigpj2t|matchCards.awayTeam.secondYellow|James Maddison was sent offafter receiving a second yellow on 28 minutes|matchSubstitutions.homeTeam.playerOff.Id|5kch3oq1mmc2xq5f7dvzuogr9|matchSubstitutions.homeTeam.playerOn.Id|2wwo7wcxz4gfy0ubkzynvrsnp|matchSustitutions.homeTeam|Brighton's Solomon  March came onas a substitute in the 73rd minute,  replacing AnthonyKnockaert|matchSubstitutions.homeTeam.playerOff.Id|3k6znit6fd9mbfcnphlwyvj6d|matchSubstitutions.homeTeam.playerOn.Id|b78dxfxiyuaac9k80pa0fev9x|matchSustitutions.homeTeam|Florin  Andone came on in the82nd minute for Pascal  Groß|matchSubstitutions.homeTeam.playerOff.Id|3or340khwmwl7p176xe839w5|matchSubstitutions.homeTeam.playerOn.Id|bbgnf53iva9u2rzc6xz045j9x|matchSustitutions.homeTeam|Brighton's final substitutionreplaced Glenn  Murray with Jürgen  Locadia|matchSubstitutions.awayTeam.playerOff.Id|f5567t48q0846fsnq6d3mqfv9|matchSubstitutions.awayTeam.playerOn.Id|6tma6gvgf6xphc5gm2el35vbp|matchSustitutions.awayTeam|Leicester's Vicente  Iborra de laFuente was replaced in the 32nd minute by Wilfred  Ndidi|matchSubstitutions.awayTeam.playerOff.Id|4n782p6eaok71ai7ecj1jo1jp|matchSubstitutions.awayTeam.playerOn.Id|6v1o4s2acog9guff3folo1jh1|matchSustitutions.awayTeam|Demarai  Gray was replacedby Jamie  Vardy in the 56th minute|matchSubstitutions.awayTeam.playerOff.Id|4rwvkp9xlyv314ceglbauou6t|matchSubstitutions.awayTeam.playerOn.Id|51xwrb0qit04oz9x01p2gghjp|matchSustitutions.awayTeam|Leicester's final substitutionwas Kelechi  Iheanacho  replacing Shinji  Okazaki|leagueposition.homeTeam|This draw puts the home team on 33points, 16th in the league  9 places below Leicester|leagueposition.awayTeam|For Leicester this draw sees them riseto seventh place on 47 points|playnext.hometeam|The next game for Brighton is away at 20thplace Huddersfield Town on Saturday 1 December|playnext.awayteam|Leicester's next game is at home to 10thplace Watford on Saturday 1 December",Brighton and Hove Albion vs Leicester City - Reuters Connect /  Wibbitz,brighton led on 15 minutes with agoal by glenn murray from an assist by knockaert. james maddison was sent off after receiving a second yellow on 28 minutes. jamie vardy scored the second in the 79th minute from a penalty.,brighton and hove albion vs leicester city -  reuters connect /  wibbitz
